===========RESULTADOS============
SESION: Thu Sep 15 12:24:56 2016
=================================
u1, v1, u2, v2, x, y, z, obj
258.353, 184.845, 233.012, 100.517, 73.2525, -0.41098, 72.53, 2.94152
188.256, 171.491, 162.239, 91.0486, 24.1741, -43.3634, 176.977, 1.07107
193.39, 231.414, 167.136, 151.137, -15.4633, 26.5964, 165.763, 0.981426
149.924, 176.936, 123.103, 103.987, -80.9961, -92.58, 234.247, 0.91781
183.418, 267.115, 157.129, 181.118, 23.2065, 99.8614, 183.21, 0.908219
150.371, 184.695, 123.404, 113.086, -103.834, -92.9371, 232.726, 0.864424
165.287, 596.936, 137.081, 513.49, -170.097, 481.319, 195.032, 0.852497
192.972, 257.168, 166.744, 172.608, 16.305, 81.4285, 168.379, 0.845395
183.55, 304.944, 157.075, 219.041, -0.580447, 142.835, 181.14, 0.820085
272.793, 321.119, 247.328, 232.515, 40.5291, 180.004, 50.6977, 0.806923
148.871, 189.454, 122.02, 115.743, -79.2661, -70.9518, 235.541, 0.773316
150.088, 184.489, 123.232, 111.403, -84.0245, -81.9037, 233.628, 0.695697
245.74, 546.735, 219.344, 457.718, -70.6292, 441.472, 83.0998, 0.693527
58.16, 546.132, 29.4633, 458.319, -148.751, 418.501, 355.445, 0.621148
193.145, 315.105, 166.915, 222.608, 61.1852, 184.155, 170.767, 0.603317
154.156, 261.221, 127.733, 175.822, 13.7156, 88.3869, 226.98, 0.59979
245.794, 561.609, 219.387, 474.975, -97.3235, 454.077, 80.155, 0.582543
244.067, 529.596, 217.699, 442.4, -80.198, 417.355, 84.0864, 0.572485
183.452, 219.995, 157.124, 140.368, -18.1326, 8.39513, 181.411, 0.571758
172.33, 337.909, 145.75, 248.918, 8.39245, 193.301, 197.837, 0.568644
162.984, 253.812, 136.587, 169.223, 11.7676, 76.0992, 213.81, 0.542731
154.065, 241.021, 127.742, 156.026, 22.4183, 63.3729, 227.976, 0.519583
245.755, 551.625, 219.401, 467.744, -118.109, 436.552, 77.5103, 0.519188
272.741, 315.657, 247.327, 228.31, 31.0944, 168.191, 49.125, 0.442934
147.08, 261.448, 120.586, 176.715, 4.75938, 84.712, 237.409, 0.428156
265.16, 543.317, 239.18, 454.525, -64.2824, 439.05, 55.0029, 0.407592
182.161, 129.582, 156.893, 37.1527, 185.653, -6.67733, 196.074, 0.404811
182.679, 230.619, 156.663, 142.457, 69.1303, 70.6891, 187.431, 0.398051
186.358, 194.858, 160.33, 111.568, 40.9913, 2.36862, 180.688, 0.389242
155.032, 234.751, 128.501, 153.413, -14.0048, 35.1376, 225.705, 0.386144
153.419, 278.777, 127.311, 187.034, 67.1507, 139.153, 228.982, 0.384463
155.069, 194.551, 128.868, 112.134, 25.0783, -4.49544, 227.979, 0.352342
146.248, 279.085, 119.88, 191.043, 28.1283, 121.364, 238.497, 0.348887
238.285, 563.559, 211.748, 484.449, -169.599, 440.225, 83.3175, 0.31693
210.091, 542.032, 183.062, 452.799, -79.4575, 432.77, 134.76, 0.298648
206.568, 409.83, 180.013, 318.347, 2.07586, 286.71, 146.522, 0.278026
223.367, 240.068, 197.497, 153.812, 51.8831, 72.619, 125.021, 0.274263
211.364, 541.755, 184.197, 463.772, -183.232, 407.392, 123.897, 0.268481
232.649, 234.629, 206.881, 147.126, 70.3891, 73.7457, 112.831, 0.255531
223.249, 263.779, 197.309, 176.524, 47.6898, 104.79, 125.044, 0.238701
164.09, 445.837, 136.652, 361.312, -95.3607, 302.295, 203.332, 0.231964
230.987, 150.123, 205.444, 64.0999, 110.378, -28.2416, 118.327, 0.228468
148.281, 249.025, 122.411, 156.979, 88.7863, 109.002, 237.788, 0.22155
133.08, 110.878, 107.762, 25.9863, 111.889, -76.7748, 265.467, 0.20573
260.851, 269.845, 235.359, 183.775, 40.7091, 107.898, 67.0366, 0.20435
265.626, 540.574, 239.751, 455.359, -94.5224, 428.288, 50.0175, 0.19986
206.824, 429.202, 180.035, 346.492, -91.5033, 280.456, 138.459, 0.198936
196.092, 190.375, 170.204, 105.198, 66.9407, 9.5418, 167.577, 0.186961
182.484, 320.819, 156.145, 229.481, 43.9779, 184.783, 185.094, 0.18591
216.815, 547.342, 189.873, 458.867, -85.9399, 438.047, 124.291, 0.177137
148.598, 179.174, 121.653, 107.452, -99.1629, -99.2754, 235.997, 0.176358
164.714, 405.695, 138.063, 310.222, 28.2297, 291.313, 208.331, 0.170606
164.908, 464.161, 137.097, 385.428, -162, 306.514, 198.908, 0.163089
156.426, 167.785, 130.688, 81.3322, 89.5478, -7.55167, 228.518, 0.149744
165.741, 408.544, 138.632, 321.718, -53.6002, 265.883, 203.413, 0.13578
194.198, 235.887, 168.045, 152.212, 20.2215, 51.9715, 166.92, 0.135357
146.04, 307.558, 119.688, 216.661, 38.6957, 165.854, 238.039, 0.131863
210.992, 571.623, 183.787, 488.54, -146.071, 455.229, 127.785, 0.120098
241.217, 424.804, 215.092, 341.312, -70.5885, 281.092, 87.3365, 0.119141
216.552, 191.038, 190.777, 106.131, 67.4849, 9.14992, 136.464, 0.118569
58.2987, 546.241, 29.4909, 459.323, -157.111, 416.639, 355.696, 0.11304
239.529, 565.949, 212.932, 472.187, -40.8285, 471.917, 96.0143, 0.108911
153.055, 260.131, 125.525, 190.852, -178.506, -8.3135, 223.644, 0.105471
